student_id,age,gender,study_hours_per_day,part_time_job,attendance_percentage,sleep_hours,mental_health_rating,extracurricular_participation,previous_gpa,stress_level,dropout_risk,social_activity,screen_time,parental_support_level,motivation_level,exam_anxiety_score,exam_score,access_to_resources,health_status,extra_tuition
100040,18,1,6.4,0,78.3,8.9,5.0,0,3.36,8.4,0,4,9.7,5,4,10,80,,0,1
100041,21,2,1.2,1,90.0,6.8,8.1,0,3.75,5.6,0,5,6.3,6,4,10,91,,2,1
100042,28,2,5.9,1,50.5,6.9,7.3,1,4.0,6.0,0,3,10.9,9,9,6,100,,2,0
100043,28,0,4.0,1,45.4,4.4,8.5,0,4.0,5.4,0,2,10.9,2,8,7,96,,1,0
100044,17,2,7.4,1,42.7,8.7,6.1,0,4.0,4.4,0,5,13.9,2,4,10,100,,2,1
100045,27,2,0.5,1,97.0,5.9,8.8,0,3.42,4.9,0,1,5.1,6,9,6,78,,0,1
100046,17,0,8.21,1,59.7,5.2,9.0,1,4.0,4.9,0,0,15.7,5,3,10,99,,2,0
100047,26,1,4.3,0,66.9,7.6,4.8,1,4.0,7.2,0,5,11.6,8,9,6,100,,0,0
100048,24,0,3.1,1,43.9,6.8,8.8,0,3.59,5.2,0,4,8.1,6,7,8,84,,2,0
100049,22,1,0.8,1,79.9,6.1,4.4,0,3.18,4.4,0,5,6.3,8,2,10,84,,2,0
100050,27,0,7.3,0,76.0,8.4,7.0,1,3.52,8.1,1,4,13.2,4,3,10,79,,1,1
100051,21,1,5.3,0,74.0,5.6,6.5,1,3.24,7.3,0,2,8.2,1,2,10,88,,2,1
100052,18,0,4.0,1,64.9,6.5,5.3,1,4.0,6.3,0,2,7.0,6,7,8,98,,2,1
100053,16,1,4.4,1,50.5,6.7,7.4,1,3.13,2.1,0,0,7.3,9,6,9,70,,2,1
100054,21,2,5.8,0,45.3,5.8,9.5,0,4.0,4.0,0,1,14.0,10,7,8,100,,1,0
100055,21,1,7.45,1,85.6,7.0,5.5,0,4.0,7.7,0,4,9.3,8,8,7,98,,1,1
100056,26,2,1.2,0,58.6,7.5,9.6,1,3.09,7.2,0,4,8.3,5,2,10,79,,2,1
100057,28,2,5.0,1,42.3,4.6,9.2,0,3.45,6.4,0,2,12.3,9,10,5,88,,3,0
100058,26,2,4.52,1,44.9,6.2,5.4,0,3.99,5.8,0,5,13.2,7,3,10,96,,2,0
100059,28,0,2.2,0,49.3,6.6,5.5,0,3.68,8.7,0,1,7.4,9,9,6,100,,1,1
100060,18,1,3.3,0,54.0,7.0,3.4,1,4.0,5.4,0,4,8.1,6,10,5,97,,2,1
100061,24,0,2.1,1,57.1,7.9,9.0,0,4.0,4.0,0,2,10.6,9,3,10,100,,0,0
100062,16,0,5.13,0,42.3,5.0,8.6,1,2.98,6.0,0,1,13.5,3,8,7,75,,3,1
100063,18,2,5.1,1,75.8,9.1,9.2,0,3.73,3.6,0,3,10.9,4,3,10,96,,3,1
100064,18,2,4.4,0,87.3,6.0,3.8,1,4.0,6.0,0,1,9.3,6,3,10,99,,2,0
100065,28,2,4.4,1,58.9,6.6,7.3,1,3.52,4.2,0,0,6.5,8,5,10,83,,3,0
100066,26,0,0.0,0,95.5,9.6,8.1,0,2.85,6.4,0,0,3.8,7,2,10,76,,0,1
100067,21,2,2.0,0,56.5,8.6,10.0,0,3.07,7.3,0,4,10.4,7,6,9,79,,1,1
100068,26,0,3.21,1,74.4,5.1,5.5,1,3.28,8.4,0,3,11.1,5,4,10,86,,1,0
100069,24,1,6.0,0,99.8,8.7,6.7,1,4.0,5.3,0,5,10.9,6,2,10,97,,2,0
100070,27,2,4.4,0,88.2,5.1,6.6,1,4.0,4.4,0,4,9.4,2,5,10,96,,2,1
100071,17,1,6.5,0,70.2,8.6,8.7,0,3.65,1.0,0,4,12.3,3,5,10,85,,1,1
100072,20,1,1.7,0,90.6,7.8,8.1,1,4.0,8.9,0,0,6.6,1,10,5,99,,1,1
100073,23,2,2.2,0,52.2,9.3,5.8,0,4.0,4.9,0,0,7.0,6,6,9,100,,3,1
100074,21,1,5.4,0,88.8,5.9,3.5,0,4.0,4.5,0,3,10.3,3,8,7,100,,0,0
100075,16,1,6.2,1,90.8,7.3,5.6,1,3.86,7.9,0,1,14.1,6,7,8,98,,1,1
100076,21,2,3.6,0,73.5,5.6,6.3,0,3.17,4.1,0,5,11.7,10,9,6,77,,1,0
100077,21,0,3.2,1,82.5,7.8,7.1,1,4.0,6.8,0,5,10.9,6,2,10,100,,1,0
100078,27,2,2.82,0,41.9,6.5,8.8,1,4.0,4.0,0,3,9.9,1,8,7,100,,1,0
100079,24,2,2.1,1,80.6,9.2,3.9,1,2.76,4.1,0,2,9.8,8,4,10,70,,2,1
100080,28,0,0.0,0,93.7,7.6,8.7,0,4.0,5.8,0,5,5.9,5,1,10,96,,2,1
100081,20,2,6.5,1,78.3,4.0,6.9,0,4.0,3.6,0,1,9.7,8,2,10,100,,2,1
100082,22,2,1.3,1,94.8,7.9,7.5,0,2.47,1.8,0,4,5.1,7,8,7,53,,2,1
100083,25,1,2.7,0,83.1,8.5,5.0,0,3.82,2.6,0,0,4.8,10,4,10,96,,3,1
100084,22,2,6.95,1,55.7,7.2,5.2,0,4.0,7.5,0,5,10.7,2,8,7,100,,1,1
100085,20,0,0.0,1,85.7,6.8,6.3,1,4.0,4.1,0,0,6.5,9,8,7,100,,0,0
100086,16,2,1.2,1,88.5,8.8,2.9,1,4.0,4.3,0,3,8.6,8,10,5,100,,1,1
100087,20,1,3.2,1,41.9,6.4,7.0,1,4.0,6.6,0,3,9.1,7,6,9,94,,2,1
100088,22,1,3.2,0,67.8,6.9,6.0,1,2.92,6.3,0,5,12.9,7,4,10,75,,0,1
100089,28,1,5.5,1,66.3,6.7,7.1,1,4.0,5.3,0,5,10.7,9,5,10,100,,2,1
100090,21,1,8.5,1,73.4,5.9,2.8,0,3.58,7.1,0,3,17.8,7,9,6,94,,2,1
100091,18,2,6.2,1,55.3,6.9,6.4,0,3.46,4.7,0,5,13.5,6,2,10,83,,2,0
100092,25,2,6.66,1,84.8,8.4,8.8,1,4.0,1.5,0,3,12.4,10,4,10,97,,1,1
100093,23,2,5.7,0,94.9,7.7,8.4,0,4.0,4.9,0,4,14.1,10,4,10,96,,2,1
100094,25,2,1.2,1,85.8,4.8,8.7,1,2.65,6.7,0,4,7.7,3,6,9,73,,3,0
100095,26,1,5.8,1,62.4,8.7,7.6,1,3.15,3.0,0,4,7.1,8,1,10,84,,1,0
100096,27,0,6.1,1,56.0,5.8,10.0,0,4.0,4.5,0,0,10.3,8,10,5,97,,1,1
100097,26,2,2.4,0,74.0,4.4,3.9,0,2.85,6.1,0,0,7.5,1,4,10,72,,0,0
100098,26,0,1.1,1,73.8,7.3,3.5,0,3.69,3.7,0,2,6.5,9,6,9,88,,2,0
100099,16,1,5.6,1,65.9,7.9,6.1,0,3.66,3.2,0,3,13.3,10,5,10,92,,3,1
100100,27,2,5.7,0,65.9,7.4,7.0,0,4.0,4.5,0,2,8.9,2,1,10,100,,0,0
100101,22,1,1.0,0,43.8,8.7,6.0,1,3.73,3.1,0,1,3.4,8,2,10,92,,2,0
100102,23,1,1.1,1,58.0,4.9,5.7,0,3.39,2.9,0,5,6.6,6,3,10,92,,3,1
100103,23,2,5.9,0,97.2,4.8,5.4,0,2.65,5.1,0,2,12.5,5,2,10,71,,2,1
100104,19,0,6.3,0,72.6,7.9,6.0,0,4.0,6.3,0,5,12.1,9,10,5,100,,1,0
100105,26,0,5.5,0,66.7,6.1,7.5,0,3.04,3.2,0,3,11.4,9,3,10,76,,3,0
100106,17,1,4.5,0,59.1,9.8,10.0,0,3.8,5.7,0,4,8.0,6,2,10,89,,0,0
100107,18,0,5.1,0,67.0,7.1,9.0,1,4.0,3.1,0,4,8.6,4,4,10,100,,1,1
100108,18,0,5.6,0,60.9,5.7,10.0,1,3.39,4.5,0,2,12.4,5,10,5,80,,3,0
100109,17,1,3.0,0,73.3,8.8,3.6,0,3.68,6.2,0,1,10.3,6,8,7,94,,1,0
100110,22,2,5.2,0,42.0,6.2,6.1,0,4.0,2.3,0,2,7.2,8,10,5,95,,3,1
100111,28,2,3.7,0,60.9,4.8,5.8,1,4.0,1.0,0,4,8.5,4,4,10,93,,1,1
100112,26,0,3.0,1,74.4,10.4,8.4,1,4.0,5.0,0,5,8.4,2,3,10,100,,3,0
100113,18,2,3.1,1,78.0,5.8,2.8,0,4.0,1.0,0,2,9.6,9,5,10,100,,2,1
100114,25,1,0.0,0,60.3,7.2,9.0,0,2.43,4.9,0,1,6.7,6,1,10,69,,2,1
100115,23,0,7.49,1,43.1,5.8,6.5,1,2.89,5.4,0,1,10.9,2,2,10,65,,2,1
100116,24,2,3.2,1,58.8,8.1,7.0,0,3.79,6.8,0,1,6.3,3,3,10,89,,1,1
100117,23,0,4.8,1,58.9,8.6,8.3,0,4.0,4.8,0,5,11.8,2,4,10,100,,1,1
100118,16,2,8.0,1,78.3,7.6,10.0,0,3.57,10.0,1,5,15.0,6,3,10,93,,2,0
100119,18,0,5.99,1,65.4,4.4,10.0,1,3.58,1.8,0,1,12.0,10,3,10,90,,3,0
100120,28,1,0.0,0,67.2,6.6,9.3,1,2.31,5.5,0,2,4.0,3,2,10,63,,2,1
100121,24,2,4.3,1,56.3,5.9,6.2,0,3.85,5.5,0,4,11.9,2,8,7,92,,3,0
100122,18,0,3.4,1,95.2,9.3,7.0,1,3.45,3.6,0,0,9.6,7,4,10,86,,3,1
100123,25,0,6.78,1,62.1,7.8,9.4,1,4.0,2.0,0,1,13.4,10,4,10,100,,2,0
100124,27,2,1.3,1,90.9,7.9,10.0,0,4.0,4.3,0,0,5.5,9,4,10,98,,3,1
100125,16,1,4.9,0,79.7,8.4,8.0,0,3.8,6.5,0,1,10.4,6,7,8,97,,1,0
100126,17,1,2.0,1,67.8,10.4,6.1,1,2.92,10.0,0,1,9.0,5,10,5,74,,2,1
100127,21,0,7.8,0,88.2,7.0,5.2,0,4.0,3.9,0,5,13.0,4,3,10,97,,2,0
100128,17,2,5.8,1,47.4,8.0,2.1,1,3.33,3.8,0,5,11.7,10,7,8,80,,1,1
100129,22,1,4.4,1,93.0,7.8,4.8,0,4.0,1.0,0,4,9.1,7,3,10,99,,3,0
100130,28,1,2.0,0,43.5,5.9,8.0,0,3.73,5.9,0,2,4.6,10,4,10,93,,0,1
100131,24,2,5.34,0,96.9,9.6,6.3,0,3.58,5.5,0,1,10.9,8,9,6,94,,2,1
100132,25,1,4.6,1,86.5,7.2,6.8,0,3.36,5.9,0,1,9.4,6,7,8,87,,0,1
100133,27,0,2.1,0,83.7,7.6,6.1,1,3.33,3.0,0,0,7.5,10,1,10,75,,2,0
100134,23,1,0.6,1,66.8,8.3,3.4,0,2.71,5.1,0,3,8.9,2,6,9,58,,2,0
100135,27,0,1.3,0,49.8,4.0,6.0,0,3.09,5.1,0,3,9.0,1,6,9,84,,2,1
100136,18,2,6.49,0,64.6,9.4,6.7,0,4.0,5.7,0,3,8.1,5,5,10,99,,2,1
100137,18,1,2.4,0,68.4,5.6,4.5,1,2.87,1.9,0,3,5.0,8,5,10,68,,2,1
100138,21,1,4.2,0,80.1,4.8,10.0,0,4.0,5.6,0,5,8.8,4,9,6,100,,2,0
100139,23,2,6.5,0,47.2,7.8,6.7,1,4.0,5.2,0,3,13.4,4,4,10,100,,1,0
100140,19,2,1.6,0,87.2,9.4,6.0,1,4.0,2.7,0,4,9.8,2,7,8,98,,2,0
100141,28,1,1.3,0,42.3,6.2,4.9,0,1.99,4.4,0,2,2.9,4,1,10,50,,3,1
100142,20,0,0.5,1,66.5,6.7,2.4,1,2.75,7.3,0,5,4.8,8,9,6,72,,2,0
100143,24,0,4.0,1,70.3,9.0,6.8,1,3.5,2.3,0,3,11.9,1,4,10,93,,2,1
100144,25,2,4.6,1,78.8,7.6,3.8,0,4.0,6.3,0,5,12.4,7,9,6,100,,1,0
100145,18,2,8.06,0,75.1,5.7,8.5,0,3.7,5.9,0,2,11.4,10,10,5,87,,1,1
100146,26,0,4.4,0,80.8,7.4,4.5,1,3.9,5.5,0,5,12.8,5,7,8,87,,3,0
100147,19,2,4.9,0,96.8,5.8,2.4,0,4.0,4.6,0,2,6.4,6,4,10,98,,3,1
100148,21,0,5.8,0,92.0,6.5,10.0,1,3.57,2.6,0,4,12.6,1,3,10,84,,1,1
100149,23,1,5.7,1,74.6,6.7,6.4,0,4.0,2.7,0,3,8.2,10,7,8,100,,2,1
100150,16,1,5.1,0,58.7,7.0,6.1,1,4.0,3.9,0,3,10.6,5,3,10,100,,2,1
100151,27,2,3.2,0,53.5,8.7,8.7,1,4.0,2.3,0,0,12.4,1,10,5,100,,2,1
100152,22,2,3.2,1,52.3,5.5,6.6,1,3.11,3.7,0,0,8.2,7,2,10,73,,2,0
100153,24,2,4.4,0,57.7,4.3,8.5,1,4.0,3.0,0,4,8.2,8,6,9,100,,2,0
100154,26,0,4.7,1,92.4,6.5,6.0,1,3.15,1.0,0,1,8.3,6,7,8,94,,3,1
100155,26,2,7.1,0,90.1,7.8,7.2,0,3.15,5.6,0,4,11.5,3,2,10,84,,3,1
100156,23,2,7.0,1,46.8,5.3,10.0,0,4.0,5.6,0,5,15.4,5,6,9,100,,3,1
100157,21,2,2.5,0,40.7,9.1,4.9,1,2.63,8.2,1,2,8.3,8,3,10,60,,2,0
100158,16,2,1.5,0,84.7,5.6,7.1,1,4.0,1.0,0,4,4.5,1,9,6,100,,0,1
100159,19,2,5.0,0,83.0,5.6,8.3,0,4.0,2.9,0,0,12.6,6,6,9,96,,2,1
100160,18,0,6.8,1,46.5,6.9,1.1,0,4.0,10.0,0,0,11.6,8,8,7,100,,2,1
100161,24,2,5.56,0,98.8,7.3,7.4,1,3.25,7.3,0,4,11.6,7,6,9,79,,3,0
100162,27,2,2.8,0,70.2,5.4,6.1,1,4.0,3.4,0,4,9.2,2,6,9,97,,3,0
100163,20,0,4.65,1,81.4,7.4,6.3,0,4.0,3.8,0,4,7.1,6,8,7,97,,2,1
100164,22,1,9.3,1,52.2,5.2,9.0,0,4.0,6.2,0,1,13.1,6,10,5,96,,1,0
100165,20,0,5.6,1,59.8,8.6,10.0,1,3.96,7.1,0,4,9.2,3,6,9,100,,1,0
100166,24,0,6.2,1,61.6,8.1,5.5,1,4.0,6.6,0,3,12.7,8,9,6,100,,2,0
100167,19,2,2.1,1,70.9,10.6,6.8,0,3.12,4.0,0,4,8.7,5,4,10,82,,1,1
100168,24,1,5.0,1,84.8,6.8,6.1,1,4.0,5.0,0,4,13.3,6,1,10,100,,3,0
100169,17,2,2.6,0,85.4,8.6,6.3,0,2.62,5.2,0,3,5.0,9,2,10,68,,2,1
100170,22,0,3.9,0,80.6,4.2,7.3,1,4.0,3.4,0,3,10.6,9,9,6,91,,3,0
100171,24,2,7.84,1,50.9,8.2,7.1,0,3.9,4.6,0,5,11.7,8,9,6,92,,1,1
100172,25,0,0.9,1,81.6,11.5,7.6,1,4.0,7.0,0,5,5.5,6,7,8,93,,1,0
100173,27,2,2.2,0,90.5,7.3,7.7,1,4.0,6.3,0,4,6.3,4,5,10,100,,2,1
100174,26,1,6.0,1,48.0,6.0,10.0,1,4.0,4.8,0,1,10.7,6,9,6,96,,3,1
100175,23,1,4.1,0,63.3,6.3,7.7,0,4.0,3.8,0,2,7.6,6,2,10,96,,1,1
100176,25,2,1.8,0,61.2,6.6,3.0,0,2.63,4.9,0,0,7.7,10,1,10,58,,3,1
100177,24,2,1.0,1,68.9,6.6,9.2,1,3.93,4.2,0,1,6.7,3,7,8,93,,2,0
100178,18,2,6.1,1,96.8,5.6,10.0,1,4.0,3.4,0,1,13.3,8,3,10,97,,3,0
100179,25,2,2.8,1,89.6,7.8,3.3,0,3.11,8.6,0,5,5.5,10,10,5,76,,1,0
100180,18,2,3.3,0,75.3,5.7,6.5,0,3.23,1.0,0,4,11.4,7,3,10,76,,2,1
100181,22,0,2.3,1,55.7,7.5,5.5,1,3.51,3.9,0,4,5.6,10,5,10,81,,1,1
100182,23,1,3.1,0,46.0,6.3,4.3,0,3.98,6.0,0,3,8.4,10,1,10,100,,1,1
100183,25,0,2.93,0,96.7,6.5,8.1,1,2.66,6.9,0,4,8.1,1,4,10,61,,2,1
100184,24,2,0.9,1,64.3,5.6,7.4,1,3.05,1.8,0,2,3.2,2,2,10,65,,1,1
100185,19,2,3.2,0,92.6,6.0,9.5,1,4.0,2.6,0,3,6.7,8,7,8,100,,2,1
100186,26,0,1.4,0,97.3,8.4,6.2,1,2.65,2.8,0,1,6.9,5,4,10,72,,2,1
100187,23,0,3.9,0,90.2,7.1,8.3,1,4.0,6.7,0,2,6.7,2,8,7,96,,1,1
100188,25,0,4.5,0,70.1,4.0,4.5,1,4.0,4.2,0,3,9.0,2,9,6,100,,3,1
100189,25,1,3.4,0,82.0,7.0,7.9,1,4.0,3.3,0,5,6.6,8,3,10,100,,3,1
100190,20,1,6.1,0,87.1,8.1,7.5,1,3.78,4.9,0,2,11.0,1,7,8,100,,3,1
100191,23,2,0.46,0,74.6,4.0,4.9,0,3.71,6.4,0,3,2.8,5,6,9,88,,2,0
100192,17,0,4.6,0,44.7,8.8,4.3,1,4.0,3.6,0,2,11.8,5,5,10,96,,2,0
100193,27,2,5.0,0,50.0,9.2,7.2,1,2.83,7.6,0,4,10.8,9,1,10,73,,1,1
100194,18,1,3.4,0,91.6,6.1,8.0,1,4.0,1.4,0,3,7.6,9,5,10,100,,0,0
100195,26,2,4.1,0,40.0,8.1,5.9,0,3.51,2.5,0,3,7.5,5,8,7,90,,2,1
100196,28,0,5.6,1,53.2,8.6,7.8,0,3.85,7.9,0,0,11.0,10,5,10,93,,2,1
100197,18,1,3.1,0,98.3,5.0,9.2,0,3.25,4.1,0,2,4.5,8,1,10,79,,2,0
100198,22,0,6.7,0,50.9,6.7,1.0,1,4.0,7.9,0,3,10.2,1,2,10,90,,2,0
100199,19,2,1.54,0,55.2,7.4,3.5,1,2.99,8.2,0,1,6.7,1,4,10,83,,1,1
100200,28,0,1.3,0,49.5,5.8,4.1,1,2.76,1.0,0,1,6.8,1,1,10,65,,2,0
100201,21,2,1.7,0,72.6,9.1,9.3,1,4.0,5.5,0,4,4.6,9,6,9,100,,1,0
100202,24,1,5.04,0,86.6,6.5,6.8,0,4.0,2.6,0,2,7.7,9,7,8,100,,2,0
100203,22,2,4.2,1,79.5,7.1,4.3,1,4.0,1.0,0,1,5.6,1,6,9,100,,1,0
100204,26,0,5.32,1,96.7,7.3,10.0,0,4.0,3.8,0,1,12.5,4,9,6,98,,0,0
100205,24,2,1.9,1,79.5,8.2,5.5,0,3.36,1.0,0,5,4.2,6,6,9,75,,3,1
100206,22,2,6.1,1,71.1,6.6,6.4,0,3.92,5.2,0,5,13.0,5,4,10,97,,1,0
100207,20,2,4.9,1,45.5,6.2,5.5,1,4.0,8.0,0,5,10.8,2,6,9,100,,2,0
100208,27,2,6.98,1,84.9,9.2,10.0,0,4.0,2.6,0,1,13.1,7,1,10,98,,3,1
100209,21,2,4.0,1,47.9,7.1,3.3,1,3.92,8.1,0,5,7.8,1,9,6,92,,1,0
100210,18,1,1.6,0,81.1,5.1,4.3,0,3.51,3.4,0,5,4.7,7,7,8,82,,2,1
100211,16,0,5.3,0,46.7,8.2,7.3,1,3.58,4.8,0,0,10.8,5,1,10,88,,1,0
100212,21,1,3.9,1,55.3,7.1,8.2,0,3.4,5.5,0,2,8.7,10,5,10,82,,0,1
100213,26,2,6.4,1,51.2,7.7,8.8,0,3.44,2.6,0,3,14.5,1,1,10,85,,2,1
100214,27,1,10.28,0,96.6,8.6,8.2,0,4.0,2.1,0,5,12.4,6,7,8,100,,2,1
100215,25,2,8.3,0,74.9,4.6,6.8,1,4.0,3.2,0,4,12.5,5,9,6,98,,0,1
100216,18,0,7.17,1,49.1,4.8,5.3,0,4.0,3.3,0,1,14.7,1,10,5,100,,2,0
100217,26,1,3.2,0,41.9,7.4,8.9,1,2.63,5.7,0,3,7.3,7,4,10,63,,0,1
100218,25,0,4.4,0,71.2,4.0,7.5,1,3.9,5.7,0,5,12.2,9,9,6,91,,3,1
100219,16,1,4.8,0,89.8,5.4,8.0,0,4.0,4.8,0,2,14.0,3,10,5,100,,2,1
100220,23,1,2.7,1,46.8,6.7,6.9,0,3.38,8.8,0,3,8.5,9,7,8,91,,0,0
100221,16,1,5.6,1,47.1,5.8,7.9,1,4.0,2.3,0,0,13.7,10,5,10,100,,3,1
100222,25,0,6.4,0,42.9,6.7,8.4,0,3.39,3.8,0,0,11.0,3,1,10,88,,1,0
100223,16,1,4.0,1,89.2,8.8,7.8,0,3.79,10.0,0,4,7.9,5,8,7,90,,1,1
100224,19,2,2.2,1,55.6,8.2,6.9,1,4.0,3.0,0,1,9.4,3,10,5,89,,1,1
100225,25,1,0.5,1,64.8,5.0,9.1,1,3.66,3.0,0,2,6.2,4,1,10,93,,2,1
100226,20,2,1.9,1,95.3,7.5,7.2,1,3.5,7.1,0,3,10.4,3,8,7,92,,0,0
100227,27,1,2.6,0,90.4,7.1,6.2,1,3.93,1.0,0,2,10.3,9,3,10,90,,0,1
100228,27,0,5.4,0,46.7,5.2,6.0,0,3.31,8.8,0,3,11.8,8,9,6,79,,2,0
100229,27,2,3.6,1,81.2,8.1,10.0,1,3.37,6.0,0,2,9.3,8,1,10,79,,3,0
100230,26,1,3.1,1,97.5,8.5,8.0,0,4.0,5.5,0,2,4.8,9,6,9,100,,2,1
100231,25,1,5.5,0,63.5,9.8,4.9,0,4.0,6.9,0,5,9.4,8,10,5,100,,2,1
100232,28,2,2.31,1,94.8,7.8,4.1,1,3.54,2.5,0,3,6.0,8,8,7,91,,3,1
100233,18,0,3.3,1,77.3,4.0,8.9,0,4.0,1.8,0,3,7.8,2,6,9,99,,1,0
100234,25,0,2.1,1,44.2,4.6,5.4,1,3.35,2.5,0,1,8.6,6,8,7,81,,1,1
100235,25,2,3.11,1,95.1,8.0,8.2,0,4.0,5.0,0,2,10.3,10,1,10,96,,3,0
100236,16,0,5.0,1,64.4,6.9,6.8,0,4.0,3.8,0,2,10.7,3,8,7,97,,2,0
100237,22,1,7.2,1,48.2,7.1,6.3,1,4.0,4.7,0,3,13.3,10,7,8,100,,0,1
100238,22,0,4.2,0,74.1,8.0,8.0,1,3.45,3.9,0,0,9.2,8,2,10,92,,2,1
100239,24,2,6.98,0,65.3,7.3,6.3,1,4.0,8.7,1,4,12.3,3,1,10,100,,3,0
100240,20,1,2.8,1,55.1,5.0,7.5,1,3.45,8.3,1,2,6.9,1,2,10,83,,1,0
100241,28,1,9.2,0,86.2,6.8,6.5,1,4.0,6.5,0,0,17.2,3,4,10,99,,1,0
100242,16,1,8.3,0,48.7,4.6,10.0,0,3.35,5.0,0,4,13.0,8,7,8,80,,1,0
100243,26,0,3.9,0,71.2,7.3,8.9,0,3.47,3.0,0,4,9.4,9,1,10,93,,2,1
100244,17,2,6.7,1,97.0,8.2,9.1,0,4.0,6.1,0,5,11.2,10,3,10,100,,2,1
